,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
545,グリーン・ガジェット,効果,4,地,機械,1400,600,41172955,(1)：このカードが召喚・特殊召喚に成功した時に発動できる。デッキから「レッド・ガジェット」１体を手札に加える。
546,レッド・ガジェット,効果,4,地,機械,1300,1500,86445415,(1)：このカードが召喚・特殊召喚に成功した時に発動できる。デッキから「イエロー・ガジェット」１体を手札に加える。
547,イエロー・ガジェット,効果,4,地,機械,1200,1200,13839120,(1)：このカードが召喚・特殊召喚に成功した時に発動できる。デッキから「グリーン・ガジェット」１体を手札に加える。
548,アーマード・サイバーン,ﾕﾆｵﾝ,4,風,機械,0,2000,67159705,１ターンに１度、自分のメインフェイズ時に装備カード扱いとして自分の「サイバー・ドラゴン」及び「サイバー・ドラゴン」が記されている融合モンスターに装備、または装備を解除して表側攻撃表示で特殊召喚できる。１ターンに１度、この効果でこのカードを装備したモンスターの攻撃力を１０００ポイントダウンし、フィールド上に表側表示で存在するモンスター１体を選択して破壊できる。（１体のモンスターが装備できるユニオンは１枚まで。装備モンスターが破壊される場合、代わりにこのカードを破壊する。）
549,サイバー・ヴァリー,効果,1,光,機械,0,0,03657444,以下の効果から１つを選択して発動できる。●このカードが相手モンスターの攻撃対象に選択された時、このカードを除外して発動できる。デッキからカードを１枚ドローし、バトルフェイズを終了する。●自分のメインフェイズ時に発動できる。このカードと自分フィールド上に表側表示で存在するモンスター１体を選択して除外し、その後デッキからカードを２枚ドローする。●自分のメインフェイズ時に、自分の墓地のカード１枚を選択して発動できる。このカードと手札１枚を除外し、その後選択したカードをデッキの一番上に戻す。
550,機甲部隊の最前線,永続魔法,,,,,,31828916,機械族モンスターが戦闘によって破壊され自分の墓地へ送られた時、そのモンスターより攻撃力の低い、同じ属性の機械族モンスター１体を自分のデッキから特殊召喚する事ができる。この効果は１ターンに１度しか使用できない。
551,禁止令,永続魔法,,,,,,43711255,カード名を１つ宣言して発動する。このカードがフィールド上に存在する限り、宣言されたカードをプレイする事はできない。このカードの効果が適用される前からフィールド上に存在するカードにはこのカードの効果は適用されない。
552,光の護封剣,通常魔法,,,,,,72302403,このカードは発動後、フィールドに残り続け、相手ターンで数えて３ターン後の相手エンドフェイズに破壊される。(1)：このカードの発動時の効果処理として、相手フィールドに裏側表示モンスターが存在する場合、そのモンスターを全て表側表示にする。(2)：このカードが魔法＆罠ゾーンに存在する限り、相手モンスターは攻撃宣言できない。
553,収縮,速攻魔法,,,,,,55713623,(1)：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの元々の攻撃力はターン終了時まで半分になる。
554,前線基地,永続魔法,,,,,,46181000,１ターンに１度、自分のメインフェイズ時に手札からレベル４以下のユニオンモンスター１体を特殊召喚する事ができる。
555,コンビネーション・アタック,速攻魔法,,,,,,08964854,ユニオンモンスターを装備したモンスターが戦闘を行ったバトルフェイズ時のみ発動する事ができる。ユニオンモンスターを装備して戦闘を行ったモンスター１体を選択し、装備されたユニオンを解除する。選択したモンスターはこのターンもう１度攻撃する事ができる。
556,波動キャノン,永続魔法,,,,,,38992735,自分のメインフェイズ時、フィールド上に表側表示で存在するこのカードを墓地へ送る事で、このカードの発動後に経過した自分のスタンバイフェイズの数×１０００ポイントダメージを相手ライフに与える。
557,機械複製術,通常魔法,,,,,,63995093,自分フィールド上に表側表示で存在する攻撃力５００以下の機械族モンスター１体を選択して発動する。選択したモンスターと同名モンスターを２体まで自分のデッキから特殊召喚する。
558,地獄の暴走召喚,速攻魔法,,,,,,12247206,相手フィールド上に表側表示でモンスターが存在し、自分フィールド上に攻撃力１５００以下のモンスター１体が特殊召喚に成功した時に発動する事ができる。その特殊召喚したモンスターと同名モンスターを自分の手札・デッキ・墓地から全て攻撃表示で特殊召喚する。相手は相手自身のフィールド上に表側表示で存在するモンスター１体を選択し、そのモンスターと同名モンスターを相手自身の手札・デッキ・墓地から全て特殊召喚する。
